Total time: 1.378734s

p[0].x: -4.227	p[0].y: 7.640	p[0].z: -0.369
p[0].vx: -58.966	p[0].vy: 107.754	p[0].vz: -6.206

p[1].x: 4.723	p[1].y: -1.230	p[1].z: 2.788
p[1].vx: 65.296	p[1].vy: -16.801	p[1].vz: 39.495

p[2].x: 4.839	p[2].y: -0.219	p[2].z: -0.277
p[2].vx: 66.897	p[2].vy: -3.576	p[2].vz: -5.116

p[3].x: 2.107	p[3].y: -2.154	p[3].z: 2.179
p[3].vx: 31.029	p[3].vy: -38.062	p[3].vz: 29.727

p[4].x: 4.880	p[4].y: 2.188	p[4].z: 9.385
p[4].vx: 70.928	p[4].vy: 32.306	p[4].vz: 135.201

p[5].x: -0.159	p[5].y: -3.567	p[5].z: -1.908
p[5].vx: -2.015	p[5].vy: -50.464	p[5].vz: -27.465

p[6].x: -1.343	p[6].y: -4.933	p[6].z: 5.725
p[6].vx: -19.653	p[6].vy: -68.894	p[6].vz: 81.235

p[7].x: 1.829	p[7].y: -3.443	p[7].z: 1.319
p[7].vx: 28.197	p[7].vy: -46.775	p[7].vz: 19.912

p[8].x: 3.507	p[8].y: -5.053	p[8].z: 1.938
p[8].vx: 50.431	p[8].vy: -71.393	p[8].vz: 29.576

p[9].x: -5.954	p[9].y: 2.060	p[9].z: 5.418
p[9].vx: -85.052	p[9].vy: 31.430	p[9].vz: 78.576

p[10].x: 0.513	p[10].y: -4.051	p[10].z: -1.978
p[10].vx: 9.109	p[10].vy: -63.651	p[10].vz: -30.819

p[11].x: 4.042	p[11].y: 2.648	p[11].z: -8.674
p[11].vx: 58.902	p[11].vy: 38.039	p[11].vz: -123.724

p[12].x: 0.705	p[12].y: -8.132	p[12].z: -5.917
p[12].vx: 10.637	p[12].vy: -116.397	p[12].vz: -85.624

p[13].x: -3.408	p[13].y: -3.753	p[13].z: -8.064
p[13].vx: -47.941	p[13].vy: -53.759	p[13].vz: -115.540

p[14].x: -4.918	p[14].y: 1.907	p[14].z: 6.447
p[14].vx: -69.828	p[14].vy: 27.858	p[14].vz: 91.728

p[15].x: -6.924	p[15].y: -3.865	p[15].z: -6.248
p[15].vx: -97.656	p[15].vy: -54.973	p[15].vz: -90.286

p[16].x: 0.853	p[16].y: -1.654	p[16].z: -0.689
p[16].vx: 11.692	p[16].vy: -17.263	p[16].vz: -4.741

p[17].x: -2.428	p[17].y: -2.652	p[17].z: 2.843
p[17].vx: -35.834	p[17].vy: -40.671	p[17].vz: 46.309

p[18].x: -4.666	p[18].y: 5.912	p[18].z: -4.949
p[18].vx: -65.553	p[18].vy: 83.905	p[18].vz: -70.445

p[19].x: 3.575	p[19].y: 1.015	p[19].z: 0.086
p[19].vx: 35.541	p[19].vy: 18.378	p[19].vz: -3.880

p[20].x: 3.817	p[20].y: 5.223	p[20].z: -1.732
p[20].vx: 55.498	p[20].vy: 75.855	p[20].vz: -23.183

p[21].x: 0.860	p[21].y: -0.195	p[21].z: -3.159
p[21].vx: 2.680	p[21].vy: 2.535	p[21].vz: -25.870

p[22].x: 1.548	p[22].y: 0.197	p[22].z: 7.874
p[22].vx: 23.536	p[22].vy: 3.022	p[22].vz: 111.896

p[23].x: 3.656	p[23].y: -2.145	p[23].z: 4.310
p[23].vx: 53.795	p[23].vy: -31.110	p[23].vz: 62.776

p[24].x: 10.161	p[24].y: 4.472	p[24].z: -7.455
p[24].vx: 147.532	p[24].vy: 64.620	p[24].vz: -108.046

p[25].x: -1.767	p[25].y: -3.866	p[25].z: 4.879
p[25].vx: -24.465	p[25].vy: -56.067	p[25].vz: 68.427

p[26].x: 6.474	p[26].y: 6.202	p[26].z: 1.090
p[26].vx: 91.964	p[26].vy: 87.449	p[26].vz: 14.398

p[27].x: 1.893	p[27].y: 1.765	p[27].z: -2.023
p[27].vx: 35.642	p[27].vy: 36.776	p[27].vz: -31.087

p[28].x: -2.741	p[28].y: 2.410	p[28].z: -2.960
p[28].vx: -43.794	p[28].vy: 39.791	p[28].vz: -51.043

p[29].x: -3.424	p[29].y: -1.941	p[29].z: 3.708
p[29].vx: -46.595	p[29].vy: -23.466	p[29].vz: 53.497

p[30].x: 4.970	p[30].y: 0.042	p[30].z: 3.150
p[30].vx: 68.593	p[30].vy: 2.505	p[30].vz: 43.046

p[31].x: -0.638	p[31].y: -1.806	p[31].z: 4.279
p[31].vx: -9.547	p[31].vy: -23.933	p[31].vz: 61.734

p[32].x: -5.778	p[32].y: -0.534	p[32].z: 2.404
p[32].vx: -82.400	p[32].vy: -5.704	p[32].vz: 32.348

p[33].x: -2.198	p[33].y: 3.356	p[33].z: -22.178
p[33].vx: -32.022	p[33].vy: 29.866	p[33].vz: -255.209

p[34].x: -1.306	p[34].y: -0.269	p[34].z: 2.544
p[34].vx: -27.091	p[34].vy: -13.339	p[34].vz: 42.999

p[35].x: -6.323	p[35].y: 3.023	p[35].z: -3.592
p[35].vx: -88.283	p[35].vy: 42.288	p[35].vz: -51.890

p[36].x: 4.050	p[36].y: 3.918	p[36].z: 4.413
p[36].vx: 57.951	p[36].vy: 57.271	p[36].vz: 62.087

p[37].x: -0.171	p[37].y: -6.314	p[37].z: 4.201
p[37].vx: -2.588	p[37].vy: -87.946	p[37].vz: 61.046

p[38].x: 1.002	p[38].y: -13.846	p[38].z: 6.683
p[38].vx: 13.882	p[38].vy: -174.449	p[38].vz: 76.809

p[39].x: 3.427	p[39].y: 5.261	p[39].z: 3.216
p[39].vx: 49.530	p[39].vy: 73.078	p[39].vz: 44.891

p[40].x: -2.404	p[40].y: 2.315	p[40].z: -0.243
p[40].vx: -32.721	p[40].vy: 32.852	p[40].vz: -5.846

p[41].x: -1.406	p[41].y: 6.178	p[41].z: 2.742
p[41].vx: -18.050	p[41].vy: 76.974	p[41].vz: 32.163

p[42].x: 7.310	p[42].y: -0.295	p[42].z: 2.714
p[42].vx: 103.213	p[42].vy: -3.130	p[42].vz: 37.238

p[43].x: -1.695	p[43].y: 1.950	p[43].z: -2.148
p[43].vx: -26.137	p[43].vy: 31.398	p[43].vz: -32.990

p[44].x: 1.614	p[44].y: 1.537	p[44].z: 6.143
p[44].vx: 24.336	p[44].vy: 22.452	p[44].vz: 86.338

p[45].x: 2.755	p[45].y: 7.360	p[45].z: -1.933
p[45].vx: 38.956	p[45].vy: 104.895	p[45].vz: -27.846

p[46].x: -6.230	p[46].y: 2.172	p[46].z: 2.478
p[46].vx: -88.958	p[46].vy: 32.386	p[46].vz: 37.211

p[47].x: -3.062	p[47].y: 5.551	p[47].z: 4.951
p[47].vx: -44.233	p[47].vy: 79.596	p[47].vz: 70.394

p[48].x: -5.318	p[48].y: -2.342	p[48].z: 6.234
p[48].vx: -75.452	p[48].vy: -31.975	p[48].vz: 89.080

p[49].x: -2.374	p[49].y: -2.117	p[49].z: -2.210
p[49].vx: -44.694	p[49].vy: -34.685	p[49].vz: -41.256

p[50].x: 0.885	p[50].y: -3.563	p[50].z: -2.880
p[50].vx: 12.416	p[50].vy: -52.858	p[50].vz: -42.069

p[51].x: 4.169	p[51].y: 2.610	p[51].z: 1.120
p[51].vx: 60.013	p[51].vy: 39.367	p[51].vz: 20.528

p[52].x: 2.297	p[52].y: 5.672	p[52].z: 5.254
p[52].vx: 33.608	p[52].vy: 80.812	p[52].vz: 74.441

p[53].x: -5.239	p[53].y: -2.048	p[53].z: -3.954
p[53].vx: -74.362	p[53].vy: -30.146	p[53].vz: -57.193

p[54].x: 0.149	p[54].y: 5.822	p[54].z: 4.506
p[54].vx: 1.113	p[54].vy: 83.924	p[54].vz: 65.256

p[55].x: -5.503	p[55].y: -6.002	p[55].z: -1.918
p[55].vx: -76.510	p[55].vy: -85.162	p[55].vz: -27.780

p[56].x: 0.870	p[56].y: 2.065	p[56].z: -0.957
p[56].vx: 10.653	p[56].vy: 8.224	p[56].vz: -11.052

p[57].x: 5.478	p[57].y: -3.788	p[57].z: 3.667
p[57].vx: 76.939	p[57].vy: -53.041	p[57].vz: 51.009

p[58].x: -0.090	p[58].y: -3.424	p[58].z: -1.259
p[58].vx: -1.780	p[58].vy: -43.942	p[58].vz: -17.969

p[59].x: -0.157	p[59].y: 4.510	p[59].z: -4.972
p[59].vx: -2.495	p[59].vy: 63.894	p[59].vz: -73.272

p[60].x: -4.121	p[60].y: 1.574	p[60].z: -6.687
p[60].vx: -58.165	p[60].vy: 21.880	p[60].vz: -95.455

p[61].x: -6.985	p[61].y: -0.521	p[61].z: -3.269
p[61].vx: -98.234	p[61].vy: -7.921	p[61].vz: -46.966

p[62].x: 0.478	p[62].y: 2.193	p[62].z: -2.677
p[62].vx: 3.039	p[62].vy: 30.132	p[62].vz: -42.012

p[63].x: -3.321	p[63].y: -1.347	p[63].z: 2.951
p[63].vx: -50.683	p[63].vy: -19.279	p[63].vz: 45.022

p[64].x: -1.354	p[64].y: -0.004	p[64].z: -1.061
p[64].vx: -12.319	p[64].vy: 0.181	p[64].vz: -15.926

p[65].x: 6.841	p[65].y: -5.358	p[65].z: -3.807
p[65].vx: 97.662	p[65].vy: -76.275	p[65].vz: -55.117

p[66].x: 4.440	p[66].y: -4.126	p[66].z: 1.415
p[66].vx: 60.918	p[66].vy: -58.042	p[66].vz: 19.697

p[67].x: -3.550	p[67].y: 4.881	p[67].z: 2.553
p[67].vx: -49.336	p[67].vy: 66.501	p[67].vz: 33.470

p[68].x: -0.772	p[68].y: 9.546	p[68].z: -0.574
p[68].vx: -10.509	p[68].vy: 135.764	p[68].vz: -8.389

p[69].x: 1.721	p[69].y: -3.956	p[69].z: 3.110
p[69].vx: 26.444	p[69].vy: -56.826	p[69].vz: 46.356

p[70].x: -0.129	p[70].y: 4.175	p[70].z: -3.626
p[70].vx: -2.635	p[70].vy: 59.841	p[70].vz: -53.655

p[71].x: 0.537	p[71].y: -1.568	p[71].z: 0.058
p[71].vx: -3.981	p[71].vy: -27.229	p[71].vz: -6.451

p[72].x: -3.837	p[72].y: -0.502	p[72].z: 1.690
p[72].vx: -55.599	p[72].vy: -2.404	p[72].vz: 23.993

p[73].x: 3.107	p[73].y: -7.163	p[73].z: -4.106
p[73].vx: 43.593	p[73].vy: -102.283	p[73].vz: -59.415

p[74].x: 2.698	p[74].y: 6.761	p[74].z: 10.478
p[74].vx: 35.421	p[74].vy: 84.210	p[74].vz: 132.483

p[75].x: -0.215	p[75].y: 3.254	p[75].z: 6.510
p[75].vx: -2.989	p[75].vy: 45.575	p[75].vz: 93.932

p[76].x: 2.269	p[76].y: 4.205	p[76].z: -0.427
