Total time: 1.625352s

p[0].x: -10.156	p[0].y: 0.874	p[0].z: -5.866
p[0].vx: -257.727	p[0].vy: 25.798	p[0].vz: -150.641

p[1].x: -0.193	p[1].y: -5.330	p[1].z: 5.000
p[1].vx: -2.770	p[1].vy: -136.856	p[1].vz: 125.693

p[2].x: -2.067	p[2].y: -0.596	p[2].z: -12.837
p[2].vx: -46.818	p[2].vy: -14.339	p[2].vz: -323.798

p[3].x: 5.716	p[3].y: -2.090	p[3].z: 7.032
p[3].vx: 148.155	p[3].vy: -53.169	p[3].vz: 183.816

p[4].x: 31.611	p[4].y: -8.380	p[4].z: 1.702
p[4].vx: 799.054	p[4].vy: -206.814	p[4].vz: 53.037

p[5].x: -2.024	p[5].y: -7.256	p[5].z: -2.797
p[5].vx: -48.565	p[5].vy: -186.649	p[5].vz: -66.601

p[6].x: -0.002	p[6].y: -9.148	p[6].z: 3.389
p[6].vx: -3.685	p[6].vy: -231.168	p[6].vz: 89.453

p[7].x: 1.605	p[7].y: -8.815	p[7].z: 2.456
p[7].vx: 42.751	p[7].vy: -223.710	p[7].vz: 66.163

p[8].x: 8.234	p[8].y: -9.461	p[8].z: -0.704
p[8].vx: 215.303	p[8].vy: -244.527	p[8].vz: -18.848

p[9].x: -6.311	p[9].y: -0.023	p[9].z: 8.759
p[9].vx: -164.843	p[9].vy: 4.018	p[9].vz: 225.365

p[10].x: -0.036	p[10].y: -4.150	p[10].z: -2.621
p[10].vx: 7.213	p[10].vy: -115.022	p[10].vz: -77.647

p[11].x: 7.782	p[11].y: -6.738	p[11].z: 0.859
p[11].vx: 197.568	p[11].vy: -170.826	p[11].vz: 20.176

p[12].x: 1.067	p[12].y: -8.011	p[12].z: -5.013
p[12].vx: 29.428	p[12].vy: -205.510	p[12].vz: -128.838

p[13].x: -3.097	p[13].y: 4.732	p[13].z: -3.339
p[13].vx: -78.075	p[13].vy: 118.191	p[13].vz: -84.401

p[14].x: -8.834	p[14].y: 3.823	p[14].z: -5.344
p[14].vx: -225.399	p[14].vy: 99.579	p[14].vz: -122.685

p[15].x: -6.338	p[15].y: -0.744	p[15].z: -2.181
p[15].vx: -163.099	p[15].vy: -21.443	p[15].vz: -59.457

p[16].x: -1.444	p[16].y: 5.391	p[16].z: -3.279
p[16].vx: -20.928	p[16].vy: 84.450	p[16].vz: -69.018

p[17].x: -4.861	p[17].y: -2.974	p[17].z: 1.969
p[17].vx: -133.980	p[17].vy: -85.977	p[17].vz: 60.251

p[18].x: -1.795	p[18].y: 4.663	p[18].z: -6.934
p[18].vx: -43.243	p[18].vy: 117.484	p[18].vz: -175.046

p[19].x: 2.952	p[19].y: 9.337	p[19].z: -0.796
p[19].vx: 77.276	p[19].vy: 236.609	p[19].vz: -22.148

p[20].x: 6.925	p[20].y: 7.967	p[20].z: -0.528
p[20].vx: 179.130	p[20].vy: 205.414	p[20].vz: -13.085

p[21].x: -4.272	p[21].y: 0.655	p[21].z: 1.719
p[21].vx: -109.086	p[21].vy: 18.376	p[21].vz: 48.448

p[22].x: -1.904	p[22].y: 3.576	p[22].z: 11.834
p[22].vx: -48.283	p[22].vy: 93.444	p[22].vz: 301.032

p[23].x: 6.071	p[23].y: -1.727	p[23].z: 6.904
p[23].vx: 156.767	p[23].vy: -50.189	p[23].vz: 177.084

p[24].x: 3.259	p[24].y: 5.400	p[24].z: -5.422
p[24].vx: 86.786	p[24].vy: 140.265	p[24].vz: -141.167

p[25].x: -2.224	p[25].y: -5.206	p[25].z: 9.221
p[25].vx: -58.108	p[25].vy: -133.118	p[25].vz: 234.421

p[26].x: 5.814	p[26].y: 4.938	p[26].z: 2.438
p[26].vx: 150.011	p[26].vy: 129.415	p[26].vz: 58.537

p[27].x: 5.457	p[27].y: 0.695	p[27].z: -3.873
p[27].vx: 148.328	p[27].vy: 30.751	p[27].vz: -109.546

p[28].x: -3.463	p[28].y: 3.440	p[28].z: -2.074
p[28].vx: -100.302	p[28].vy: 101.245	p[28].vz: -64.591

p[29].x: -3.275	p[29].y: 7.624	p[29].z: 7.188
p[29].vx: -81.599	p[29].vy: 194.068	p[29].vz: 184.598

p[30].x: 4.055	p[30].y: -3.097	p[30].z: -0.087
p[30].vx: 103.837	p[30].vy: -78.430	p[30].vz: -4.326

p[31].x: -2.785	p[31].y: -5.276	p[31].z: 1.308
p[31].vx: -70.971	p[31].vy: -133.582	p[31].vz: 35.387

p[32].x: -7.424	p[32].y: -1.173	p[32].z: 4.556
p[32].vx: -187.298	p[32].vy: -30.466	p[32].vz: 116.959

p[33].x: -3.028	p[33].y: -2.011	p[33].z: -4.545
p[33].vx: -88.694	p[33].vy: -62.601	p[33].vz: -123.825

p[34].x: -3.542	p[34].y: -0.176	p[34].z: 7.843
p[34].vx: -95.932	p[34].vy: -8.399	p[34].vz: 202.020

p[35].x: -2.970	p[35].y: 6.213	p[35].z: -1.461
p[35].vx: -73.918	p[35].vy: 159.144	p[35].vz: -42.842

p[36].x: 4.352	p[36].y: 3.931	p[36].z: 6.380
p[36].vx: 110.951	p[36].vy: 104.117	p[36].vz: 164.113

p[37].x: -0.114	p[37].y: -9.828	p[37].z: 3.665
p[37].vx: -2.240	p[37].vy: -249.023	p[37].vz: 95.755

p[38].x: 0.051	p[38].y: -0.244	p[38].z: -10.205
p[38].vx: 1.131	p[38].vy: -8.377	p[38].vz: -258.262

p[39].x: 0.871	p[39].y: 10.622	p[39].z: 1.398
p[39].vx: 24.070	p[39].vy: 267.454	p[39].vz: 38.061

p[40].x: -5.568	p[40].y: -0.092	p[40].z: 1.706
p[40].vx: -140.569	p[40].vy: -0.637	p[40].vz: 42.163

p[41].x: -0.780	p[41].y: 11.641	p[41].z: 1.239
p[41].vx: -16.878	p[41].vy: 295.198	p[41].vz: 37.082

p[42].x: -0.022	p[42].y: 8.596	p[42].z: -2.577
p[42].vx: 3.856	p[42].vy: 215.912	p[42].vz: -66.133

p[43].x: -5.886	p[43].y: 2.576	p[43].z: -6.042
p[43].vx: -148.764	p[43].vy: 69.196	p[43].vz: -155.909

p[44].x: 0.078	p[44].y: 11.583	p[44].z: -0.888
p[44].vx: 3.186	p[44].vy: 293.674	p[44].vz: -13.729

p[45].x: 3.367	p[45].y: 2.277	p[45].z: -3.675
p[45].vx: 88.141	p[45].vy: 62.121	p[45].vz: -93.358

p[46].x: -5.702	p[46].y: 1.326	p[46].z: 1.569
p[46].vx: -146.576	p[46].vy: 36.856	p[46].vz: 43.863

p[47].x: -3.066	p[47].y: 1.918	p[47].z: 6.911
p[47].vx: -81.877	p[47].vy: 53.860	p[47].vz: 180.824

p[48].x: -3.210	p[48].y: -1.075	p[48].z: 7.122
p[48].vx: -82.146	p[48].vy: -28.047	p[48].vz: 180.297

p[49].x: -3.298	p[49].y: -3.018	p[49].z: -4.765
p[49].vx: -93.151	p[49].vy: -86.601	p[49].vz: -132.210

p[50].x: 1.395	p[50].y: -5.131	p[50].z: -5.789
p[50].vx: 38.289	p[50].vy: -137.891	p[50].vz: -154.456

p[51].x: 8.242	p[51].y: 4.471	p[51].z: -1.792
p[51].vx: 212.197	p[51].vy: 117.666	p[51].vz: -45.971

p[52].x: 1.904	p[52].y: 3.777	p[52].z: 10.916
p[52].vx: 47.578	p[52].vy: 97.368	p[52].vz: 276.607

p[53].x: -0.178	p[53].y: -0.335	p[53].z: -10.968
p[53].vx: -4.810	p[53].vy: -7.297	p[53].vz: -275.824

p[54].x: -2.168	p[54].y: 7.581	p[54].z: 7.772
p[54].vx: -52.772	p[54].vy: 194.609	p[54].vz: 200.067

p[55].x: -8.138	p[55].y: -1.601	p[55].z: -3.720
p[55].vx: -208.806	p[55].vy: -40.048	p[55].vz: -98.814

p[56].x: -1.655	p[56].y: -3.827	p[56].z: -2.445
p[56].vx: -38.695	p[56].vy: -96.945	p[56].vz: -61.056

p[57].x: 9.782	p[57].y: -1.627	p[57].z: 1.974
p[57].vx: 247.345	p[57].vy: -43.071	p[57].vz: 52.917

p[58].x: 0.757	p[58].y: -11.164	p[58].z: -0.794
p[58].vx: 19.680	p[58].vy: -281.890	p[58].vz: -22.216

p[59].x: 1.817	p[59].y: -1.401	p[59].z: -5.819
p[59].vx: 44.308	p[59].vy: -25.480	p[59].vz: -152.154

p[60].x: 2.935	p[60].y: 3.670	p[60].z: 4.986
p[60].vx: 68.755	p[60].vy: 90.863	p[60].vz: 113.622

p[61].x: -2.119	p[61].y: -0.054	p[61].z: -7.743
p[61].vx: -62.321	p[61].vy: -6.275	p[61].vz: -198.797

p[62].x: 5.241	p[62].y: 12.959	p[62].z: -3.547
p[62].vx: 132.549	p[62].vy: 331.417	p[62].vz: -96.960

p[63].x: -4.458	p[63].y: -1.775	p[63].z: 5.934
p[63].vx: -121.589	p[63].vy: -49.446	p[63].vz: 157.650

p[64].x: 7.597	p[64].y: -1.660	p[64].z: -6.992
