Total time: 7.763126s

p[0].x: 51.413	p[0].y: 290.642	p[0].z: -95.636
p[0].vx: 571.468	p[0].vy: 3230.815	p[0].vz: -1063.208

p[1].x: -66.001	p[1].y: -224.998	p[1].z: 145.507
p[1].vx: -733.470	p[1].vy: -2500.507	p[1].vz: 1617.046

p[2].x: 27.156	p[2].y: 22.839	p[2].z: 134.287
p[2].vx: 302.538	p[2].vy: 254.444	p[2].vz: 1495.298

p[3].x: 209.671	p[3].y: -72.867	p[3].z: -70.812
p[3].vx: 2331.768	p[3].vy: -810.248	p[3].vz: -787.805

p[4].x: 178.173	p[4].y: 148.673	p[4].z: 120.643
p[4].vx: 1981.000	p[4].vy: 1653.063	p[4].vz: 1341.250

p[5].x: 9.161	p[5].y: 275.059	p[5].z: -46.799
p[5].vx: 101.916	p[5].vy: 3057.981	p[5].vz: -520.560

p[6].x: -42.984	p[6].y: 74.606	p[6].z: 62.785
p[6].vx: -479.158	p[6].vy: 832.085	p[6].vz: 699.766

p[7].x: -32.057	p[7].y: 98.895	p[7].z: 179.006
p[7].vx: -356.482	p[7].vy: 1100.259	p[7].vz: 1990.992

p[8].x: 218.130	p[8].y: -202.973	p[8].z: -11.073
p[8].vx: 2424.984	p[8].vy: -2256.331	p[8].vz: -123.359

p[9].x: -115.756	p[9].y: 96.370	p[9].z: 189.462
p[9].vx: -1287.440	p[9].vy: 1072.053	p[9].vz: 2106.559

p[10].x: 78.534	p[10].y: -26.285	p[10].z: -175.264
p[10].vx: 874.135	p[10].vy: -292.778	p[10].vz: -1949.908

p[11].x: 221.989	p[11].y: -18.088	p[11].z: 7.032
p[11].vx: 2468.837	p[11].vy: -200.947	p[11].vz: 78.076

p[12].x: -34.655	p[12].y: -206.492	p[12].z: -290.400
p[12].vx: -385.229	p[12].vy: -2294.727	p[12].vz: -3227.635

p[13].x: 56.720	p[13].y: -85.868	p[13].z: 253.922
p[13].vx: 630.410	p[13].vy: -954.197	p[13].vz: 2821.867

p[14].x: -105.574	p[14].y: 262.445	p[14].z: 152.107
p[14].vx: -1173.282	p[14].vy: 2917.044	p[14].vz: 1690.611

p[15].x: 157.322	p[15].y: -43.452	p[15].z: -109.407
p[15].vx: 1750.263	p[15].vy: -483.302	p[15].vz: -1217.320

p[16].x: -0.727	p[16].y: 4.351	p[16].z: -7.265
p[16].vx: -3.754	p[16].vy: 30.981	p[16].vz: -73.700

p[17].x: -46.146	p[17].y: -50.350	p[17].z: 58.615
p[17].vx: -515.294	p[17].vy: -562.080	p[17].vz: 654.500

p[18].x: 21.142	p[18].y: -224.292	p[18].z: 107.921
p[18].vx: 235.008	p[18].vy: -2492.708	p[18].vz: 1199.226

p[19].x: -107.310	p[19].y: 161.625	p[19].z: -115.797
p[19].vx: -1193.462	p[19].vy: 1797.425	p[19].vz: -1288.054

p[20].x: -312.617	p[20].y: -418.924	p[20].z: 836.825
p[20].vx: -3473.139	p[20].vy: -4654.153	p[20].vz: 9297.675

p[21].x: -2.119	p[21].y: -3.094	p[21].z: 58.277
p[21].vx: -23.348	p[21].vy: -34.683	p[21].vz: 652.899

p[22].x: 59.216	p[22].y: 11.910	p[22].z: -27.697
p[22].vx: 658.000	p[22].vy: 132.361	p[22].vz: -307.979

p[23].x: 204.868	p[23].y: -151.518	p[23].z: 31.114
p[23].vx: 2277.978	p[23].vy: -1684.692	p[23].vz: 345.709

p[24].x: 41.788	p[24].y: 203.351	p[24].z: -202.685
p[24].vx: 464.581	p[24].vy: 2260.863	p[24].vz: -2253.401

p[25].x: -137.439	p[25].y: -125.659	p[25].z: -194.712
p[25].vx: -1528.001	p[25].vy: -1396.844	p[25].vz: -2164.871

p[26].x: -125.883	p[26].y: 254.646	p[26].z: -80.807
p[26].vx: -1399.340	p[26].vy: 2830.739	p[26].vz: -898.585

p[27].x: 55.551	p[27].y: 64.934	p[27].z: -24.608
p[27].vx: 620.390	p[27].vy: 725.277	p[27].vz: -274.544

p[28].x: -28.468	p[28].y: 41.008	p[28].z: -38.254
p[28].vx: -318.854	p[28].vy: 459.736	p[28].vz: -429.092

p[29].x: -126.983	p[29].y: -20.093	p[29].z: -156.682
p[29].vx: -1411.045	p[29].vy: -223.273	p[29].vz: -1741.556

p[30].x: 231.529	p[30].y: -115.255	p[30].z: -262.106
p[30].vx: 2573.154	p[30].vy: -1280.863	p[30].vz: -2913.062

p[31].x: -306.800	p[31].y: -58.213	p[31].z: -56.500
p[31].vx: -3409.799	p[31].vy: -646.898	p[31].vz: -628.479

p[32].x: -116.320	p[32].y: -9.912	p[32].z: -156.825
p[32].vx: -1293.864	p[32].vy: -110.353	p[32].vz: -1744.875

p[33].x: -95.864	p[33].y: -93.484	p[33].z: -35.914
p[33].vx: -1067.752	p[33].vy: -1041.253	p[33].vz: -399.960

p[34].x: -117.733	p[34].y: -84.000	p[34].z: 43.582
p[34].vx: -1310.734	p[34].vy: -935.305	p[34].vz: 485.082

p[35].x: -145.399	p[35].y: 46.277	p[35].z: 63.978
p[35].vx: -1618.138	p[35].vy: 515.147	p[35].vz: 712.144

p[36].x: 199.149	p[36].y: 116.295	p[36].z: -183.588
p[36].vx: 2214.007	p[36].vy: 1292.940	p[36].vz: -2041.107

p[37].x: 0.117	p[37].y: 88.943	p[37].z: -32.970
p[37].vx: 1.465	p[37].vy: 992.280	p[37].vz: -367.926

p[38].x: -8.622	p[38].y: -60.959	p[38].z: 142.139
p[38].vx: -95.872	p[38].vy: -678.407	p[38].vz: 1582.168

p[39].x: 64.982	p[39].y: -186.406	p[39].z: 19.614
p[39].vx: 723.001	p[39].vy: -2073.672	p[39].vz: 218.129

p[40].x: -11.526	p[40].y: 279.022	p[40].z: -76.714
p[40].vx: -128.011	p[40].vy: 3100.960	p[40].vz: -852.802

p[41].x: 73.179	p[41].y: -68.327	p[41].z: 62.367
p[41].vx: 815.487	p[41].vy: -761.433	p[41].vz: 694.738

p[42].x: 113.325	p[42].y: -370.417	p[42].z: -114.454
p[42].vx: 1259.646	p[42].vy: -4116.498	p[42].vz: -1272.195

p[43].x: -174.525	p[43].y: 99.473	p[43].z: 130.485
p[43].vx: -1940.549	p[43].vy: 1106.073	p[43].vz: 1450.947

p[44].x: -51.654	p[44].y: -106.249	p[44].z: 255.662
p[44].vx: -574.146	p[44].vy: -1181.373	p[44].vz: 2842.046

p[45].x: -101.943	p[45].y: 75.220	p[45].z: -84.423
p[45].vx: -1135.119	p[45].vy: 837.300	p[45].vz: -939.880

p[46].x: 335.117	p[46].y: -33.154	p[46].z: -262.088
p[46].vx: 3724.639	p[46].vy: -368.570	p[46].vz: -2913.020

p[47].x: 26.888	p[47].y: 73.805	p[47].z: 162.129
p[47].vx: 299.608	p[47].vy: 821.451	p[47].vz: 1803.980

p[48].x: -74.428	p[48].y: 259.890	p[48].z: -57.708
p[48].vx: -827.248	p[48].vy: 2889.258	p[48].vz: -641.727

p[49].x: -19.976	p[49].y: -44.629	p[49].z: -93.281
p[49].vx: -222.543	p[49].vy: -497.589	p[49].vz: -1040.552

p[50].x: 107.151	p[50].y: -158.983	p[50].z: -183.943
p[50].vx: 1191.595	p[50].vy: -1767.607	p[50].vz: -2045.347

p[51].x: 23.491	p[51].y: 91.679	p[51].z: 112.223
p[51].vx: 261.649	p[51].vy: 1020.824	p[51].vz: 1249.551

p[52].x: 199.573	p[52].y: 231.373	p[52].z: 20.361
p[52].vx: 2218.116	p[52].vy: 2571.334	p[52].vz: 226.225

p[53].x: 277.827	p[53].y: 16.468	p[53].z: 127.506
p[53].vx: 3088.009	p[53].vy: 183.181	p[53].vz: 1417.278

p[54].x: 84.263	p[54].y: 62.226	p[54].z: 234.981
