Total time: 0.096150s

p[0].x: -0.135	p[0].y: -0.156	p[0].z: 0.137
p[0].vx: -26.865	p[0].vy: 12.450	p[0].vz: -18.820

p[1].x: 0.056	p[1].y: -0.084	p[1].z: 0.048
p[1].vx: 14.689	p[1].vy: -40.755	p[1].vz: 26.739

p[2].x: -0.272	p[2].y: 0.120	p[2].z: -0.122
p[2].vx: -9.472	p[2].vy: 9.986	p[2].vz: -37.895

p[3].x: 0.303	p[3].y: 0.332	p[3].z: -0.960
p[3].vx: 32.588	p[3].vy: 5.432	p[3].vz: 3.170

p[4].x: -0.005	p[4].y: -0.031	p[4].z: 0.022
p[4].vx: 31.285	p[4].vy: 6.627	p[4].vz: 34.132

p[5].x: 0.112	p[5].y: -0.225	p[5].z: 0.044
p[5].vx: 17.521	p[5].vy: -34.306	p[5].vz: -2.875

p[6].x: 0.120	p[6].y: -0.111	p[6].z: -0.325
p[6].vx: 0.124	p[6].vy: -38.075	p[6].vz: 14.028

p[7].x: -0.121	p[7].y: -0.005	p[7].z: -0.097
p[7].vx: 11.108	p[7].vy: -35.412	p[7].vz: 9.305

p[8].x: -0.164	p[8].y: 0.187	p[8].z: 0.050
p[8].vx: 28.553	p[8].vy: -29.267	p[8].vz: 2.014

p[9].x: -0.082	p[9].y: 0.450	p[9].z: 0.239
p[9].vx: -39.279	p[9].vy: 26.421	p[9].vz: 49.068

p[10].x: -7.868	p[10].y: 5.921	p[10].z: 0.087
p[10].vx: -246.460	p[10].vy: 171.528	p[10].vz: -22.541

p[11].x: 0.217	p[11].y: -0.369	p[11].z: 0.085
p[11].vx: 42.107	p[11].vy: -33.700	p[11].vz: -3.562

p[12].x: -0.249	p[12].y: 0.252	p[12].z: 0.244
p[12].vx: -6.534	p[12].vy: -25.201	p[12].vz: -24.042

p[13].x: 0.047	p[13].y: 0.213	p[13].z: 0.118
p[13].vx: -9.425	p[13].vy: 6.519	p[13].vz: -29.897

p[14].x: -0.057	p[14].y: -0.028	p[14].z: -0.045
p[14].vx: -31.154	p[14].vy: 14.081	p[14].vz: 23.658

p[15].x: -0.206	p[15].y: -0.240	p[15].z: 0.080
p[15].vx: -44.393	p[15].vy: -22.553	p[15].vz: -20.891

p[16].x: 0.382	p[16].y: -0.201	p[16].z: -0.035
p[16].vx: 22.002	p[16].vy: -18.009	p[16].vz: 7.591

p[17].x: 0.068	p[17].y: 0.100	p[17].z: -0.239
p[17].vx: -30.825	p[17].vy: -30.264	p[17].vz: 23.487

p[18].x: 0.085	p[18].y: 0.030	p[18].z: 0.018
p[18].vx: -10.073	p[18].vy: 23.557	p[18].vz: -24.055

p[19].x: 1.970	p[19].y: -0.549	p[19].z: 0.755
p[19].vx: 58.054	p[19].vy: 1.355	p[19].vz: 12.359

p[20].x: -0.022	p[20].y: 0.002	p[20].z: -0.010
p[20].vx: 37.553	p[20].vy: 31.148	p[20].vz: -2.452

p[21].x: 0.024	p[21].y: -0.038	p[21].z: -1.695
p[21].vx: -7.477	p[21].vy: 5.339	p[21].vz: -34.623

p[22].x: -0.068	p[22].y: -0.115	p[22].z: 0.049
p[22].vx: -6.174	p[22].vy: 20.823	p[22].vz: 24.946

p[23].x: -0.131	p[23].y: 0.033	p[23].z: -0.071
p[23].vx: 26.027	p[23].vy: -18.474	p[23].vz: 27.902

p[24].x: -0.068	p[24].y: -0.012	p[24].z: 0.294
p[24].vx: 21.905	p[24].vy: 21.942	p[24].vz: -16.501

p[25].x: -0.062	p[25].y: 0.053	p[25].z: 0.145
p[25].vx: -10.788	p[25].vy: -33.305	p[25].vz: 37.542

p[26].x: 0.054	p[26].y: 0.000	p[26].z: 0.191
p[26].vx: 39.006	p[26].vy: 30.108	p[26].vz: 23.773

p[27].x: -0.387	p[27].y: -0.429	p[27].z: 0.238
p[27].vx: 22.631	p[27].vy: 14.477	p[27].vz: -23.421

p[28].x: 0.317	p[28].y: -0.388	p[28].z: 0.418
p[28].vx: -23.801	p[28].vy: 19.927	p[28].vz: -13.930

p[29].x: 0.106	p[29].y: 0.004	p[29].z: -0.093
p[29].vx: -5.166	p[29].vy: 25.965	p[29].vz: 16.729

p[30].x: 0.483	p[30].y: 0.213	p[30].z: 0.014
p[30].vx: 30.496	p[30].vy: -12.434	p[30].vz: -5.470

p[31].x: -1.688	p[31].y: -1.289	p[31].z: -0.958
p[31].vx: -40.287	p[31].vy: -42.178	p[31].vz: -9.879

p[32].x: -0.103	p[32].y: -0.106	p[32].z: 0.454
p[32].vx: -42.736	p[32].vy: -6.646	p[32].vz: 33.106

p[33].x: 0.378	p[33].y: 0.237	p[33].z: 0.214
p[33].vx: -13.912	p[33].vy: -20.070	p[33].vz: -29.219

p[34].x: 0.123	p[34].y: -0.004	p[34].z: 0.140
p[34].vx: -13.083	p[34].vy: -0.608	p[34].vz: 39.669

p[35].x: 0.135	p[35].y: 0.207	p[35].z: 0.011
p[35].vx: -1.733	p[35].vy: 19.961	p[35].vz: -24.774

p[36].x: -0.379	p[36].y: -0.095	p[36].z: 0.037
p[36].vx: 11.054	p[36].vy: 18.185	p[36].vz: 31.565

p[37].x: -0.129	p[37].y: -0.069	p[37].z: -0.081
p[37].vx: -8.961	p[37].vy: -39.458	p[37].vz: 18.260

p[38].x: -0.106	p[38].y: -0.035	p[38].z: -0.323
p[38].vx: -4.637	p[38].vy: -23.925	p[38].vz: -52.028

p[39].x: 0.025	p[39].y: 0.051	p[39].z: -0.093
p[39].vx: 8.489	p[39].vy: 38.217	p[39].vz: 11.317

p[40].x: 0.040	p[40].y: 0.061	p[40].z: 0.228
p[40].vx: -14.761	p[40].vy: -7.574	p[40].vz: 23.645

p[41].x: 0.088	p[41].y: 0.396	p[41].z: -0.010
p[41].vx: -10.339	p[41].vy: 53.439	p[41].vz: 7.363

p[42].x: -0.110	p[42].y: 0.162	p[42].z: 0.132
p[42].vx: 7.573	p[42].vy: 20.816	p[42].vz: 2.262

p[43].x: -0.179	p[43].y: -0.315	p[43].z: 0.199
p[43].vx: -27.266	p[43].vy: 19.814	p[43].vz: -23.223

p[44].x: 0.031	p[44].y: 0.111	p[44].z: -0.047
p[44].vx: 2.530	p[44].vy: 25.956	p[44].vz: 32.331

p[45].x: 0.107	p[45].y: 0.025	p[45].z: 0.143
p[45].vx: 35.950	p[45].vy: 23.036	p[45].vz: -6.571

p[46].x: 0.278	p[46].y: -0.144	p[46].z: -0.135
p[46].vx: -24.253	p[46].vy: 15.819	p[46].vz: 5.762

p[47].x: -0.097	p[47].y: 0.023	p[47].z: -0.028
p[47].vx: -37.084	p[47].vy: 21.364	p[47].vz: 27.984

p[48].x: 0.017	p[48].y: 0.042	p[48].z: 0.005
p[48].vx: -21.320	p[48].vy: -14.429	p[48].vz: 35.074

p[49].x: 0.396	p[49].y: 0.348	p[49].z: 0.419
p[49].vx: -17.012	p[49].vy: -18.405	p[49].vz: -12.197

p[50].x: 0.009	p[50].y: 0.282	p[50].z: 0.313
p[50].vx: 10.042	p[50].vy: -24.468	p[50].vz: -25.185

p[51].x: -0.159	p[51].y: -0.142	p[51].z: 0.104
p[51].vx: 24.770	p[51].vy: 12.544	p[51].vz: -23.805

p[52].x: -0.335	p[52].y: -0.113	p[52].z: -0.126
