Total time: 8.583711s

p[0].x: 133.338	p[0].y: 172.517	p[0].z: 23.997
p[0].vx: 1483.071	p[0].vy: 1918.829	p[0].vz: 267.088

p[1].x: -12.451	p[1].y: -28.382	p[1].z: 12.057
p[1].vx: -138.325	p[1].vy: -315.393	p[1].vz: 133.663

p[2].x: 11.095	p[2].y: 9.836	p[2].z: 95.396
p[2].vx: 123.657	p[2].vy: 109.806	p[2].vz: 1064.485

p[3].x: 123.349	p[3].y: -44.316	p[3].z: -157.758
p[3].vx: 1372.083	p[3].vy: -492.827	p[3].vz: -1755.017

p[4].x: 119.901	p[4].y: 192.526	p[4].z: -27.279
p[4].vx: 1332.869	p[4].vy: 2140.062	p[4].vz: -303.298

p[5].x: -7.923	p[5].y: 170.491	p[5].z: -37.718
p[5].vx: -87.942	p[5].vy: 1897.000	p[5].vz: -419.460

p[6].x: -32.620	p[6].y: 67.633	p[6].z: 38.027
p[6].vx: -363.929	p[6].vy: 755.769	p[6].vz: 424.202

p[7].x: -36.830	p[7].y: 149.701	p[7].z: 113.585
p[7].vx: -409.570	p[7].vy: 1665.599	p[7].vz: 1263.346

p[8].x: 103.732	p[8].y: -13.512	p[8].z: -58.574
p[8].vx: 1152.997	p[8].vy: -150.305	p[8].vz: -651.132

p[9].x: -28.151	p[9].y: 117.782	p[9].z: 102.113
p[9].vx: -313.168	p[9].vy: 1311.451	p[9].vz: 1136.492

p[10].x: 144.444	p[10].y: 19.411	p[10].z: -208.177
p[10].vx: 1606.110	p[10].vy: 215.934	p[10].vz: -2314.955

p[11].x: 255.199	p[11].y: 75.239	p[11].z: -0.143
p[11].vx: 2837.427	p[11].vy: 836.545	p[11].vz: -1.664

p[12].x: -152.917	p[12].y: 144.511	p[12].z: -48.290
p[12].vx: -1699.384	p[12].vy: 1606.318	p[12].vz: -536.783

p[13].x: 42.683	p[13].y: -107.930	p[13].z: 195.782
p[13].vx: 474.620	p[13].vy: -1199.534	p[13].vz: 2176.178

p[14].x: 34.302	p[14].y: 175.268	p[14].z: -35.227
p[14].vx: 381.557	p[14].vy: 1948.023	p[14].vz: -391.377

p[15].x: 124.148	p[15].y: -24.876	p[15].z: -59.249
p[15].vx: 1382.891	p[15].vy: -276.708	p[15].vz: -659.727

p[16].x: -0.839	p[16].y: 3.897	p[16].z: -7.173
p[16].vx: -4.561	p[16].vy: 25.922	p[16].vz: -72.472

p[17].x: -61.988	p[17].y: -65.268	p[17].z: 87.126
p[17].vx: -690.622	p[17].vy: -727.123	p[17].vz: 970.946

p[18].x: 83.774	p[18].y: -128.669	p[18].z: 168.262
p[18].vx: 931.652	p[18].vy: -1430.716	p[18].vz: 1870.800

p[19].x: -118.355	p[19].y: 62.456	p[19].z: -53.731
p[19].vx: -1317.338	p[19].vy: 694.700	p[19].vz: -597.988

p[20].x: -170.635	p[20].y: -25.135	p[20].z: -44.471
p[20].vx: -1896.343	p[20].vy: -279.544	p[20].vz: -494.489

p[21].x: 0.361	p[21].y: -10.691	p[21].z: 61.468
p[21].vx: 4.347	p[21].vy: -119.614	p[21].vz: 688.583

p[22].x: 84.637	p[22].y: -99.711	p[22].z: -192.901
p[22].vx: 940.982	p[22].vy: -1108.511	p[22].vz: -2144.734

p[23].x: 160.026	p[23].y: -150.045	p[23].z: -142.545
p[23].vx: 1779.068	p[23].vy: -1667.967	p[23].vz: -1584.854

p[24].x: -98.962	p[24].y: 197.981	p[24].z: -149.439
p[24].vx: -1100.005	p[24].vy: 2200.803	p[24].vz: -1661.417

p[25].x: -94.347	p[25].y: -31.009	p[25].z: -207.399
p[25].vx: -1048.803	p[25].vy: -344.504	p[25].vz: -2306.518

p[26].x: -173.755	p[26].y: 64.201	p[26].z: -74.374
p[26].vx: -1932.425	p[26].vy: 714.025	p[26].vz: -827.128

p[27].x: 78.297	p[27].y: 99.043	p[27].z: -21.474
p[27].vx: 872.541	p[27].vy: 1103.602	p[27].vz: -238.816

p[28].x: -14.064	p[28].y: 62.681	p[28].z: -68.913
p[28].vx: -156.548	p[28].vy: 699.743	p[28].vz: -769.527

p[29].x: 16.851	p[29].y: -158.875	p[29].z: -221.507
p[29].vx: 187.517	p[29].vy: -1766.142	p[29].vz: -2462.732

p[30].x: 66.659	p[30].y: -49.655	p[30].z: -127.142
p[30].vx: 741.035	p[30].vy: -551.868	p[30].vz: -1413.332

p[31].x: -190.641	p[31].y: 83.882	p[31].z: -173.049
p[31].vx: -2119.097	p[31].vy: 932.532	p[31].vz: -1923.871

p[32].x: -66.450	p[32].y: -1.371	p[32].z: -118.884
p[32].vx: -740.524	p[32].vy: -17.138	p[32].vz: -1324.906

p[33].x: -140.907	p[33].y: -129.614	p[33].z: 0.151
p[33].vx: -1567.570	p[33].vy: -1442.137	p[33].vz: 1.678

p[34].x: -127.932	p[34].y: -102.094	p[34].z: 8.144
p[34].vx: -1423.879	p[34].vy: -1136.308	p[34].vz: 90.476

p[35].x: -152.869	p[35].y: 26.507	p[35].z: 114.079
p[35].vx: -1700.760	p[35].vy: 294.794	p[35].vz: 1269.015

p[36].x: 85.389	p[36].y: 139.840	p[36].z: -167.205
p[36].vx: 949.583	p[36].vy: 1554.917	p[36].vz: -1859.591

p[37].x: 3.004	p[37].y: 55.918	p[37].z: -26.546
p[37].vx: 33.603	p[37].vy: 626.449	p[37].vz: -296.964

p[38].x: -6.626	p[38].y: -35.902	p[38].z: 104.888
p[38].vx: -73.652	p[38].vy: -399.736	p[38].vz: 1169.649

p[39].x: 40.158	p[39].y: -121.591	p[39].z: 10.741
p[39].vx: 447.176	p[39].vy: -1354.772	p[39].vz: 119.303

p[40].x: 45.464	p[40].y: 214.774	p[40].z: -142.106
p[40].vx: 505.414	p[40].vy: 2387.324	p[40].vz: -1579.631

p[41].x: 48.684	p[41].y: -57.446	p[41].z: 36.964
p[41].vx: 543.610	p[41].vy: -641.685	p[41].vz: 412.415

p[42].x: 16.574	p[42].y: -232.148	p[42].z: -23.874
p[42].vx: 184.383	p[42].vy: -2581.044	p[42].vz: -265.546

p[43].x: -104.443	p[43].y: 17.561	p[43].z: 157.127
p[43].vx: -1161.531	p[43].vy: 195.463	p[43].vz: 1748.056

