Total time: 3.116301s

p[0].x: -6.191	p[0].y: 1.218	p[0].z: -4.248
p[0].vx: -58.334	p[0].vy: 13.937	p[0].vz: -40.344

p[1].x: 2.156	p[1].y: -3.613	p[1].z: 1.805
p[1].vx: 18.133	p[1].vy: -35.675	p[1].vz: 20.269

p[2].x: 1.240	p[2].y: -0.447	p[2].z: -11.879
p[2].vx: 15.078	p[2].vy: -1.285	p[2].vz: -125.953

p[3].x: 4.940	p[3].y: -1.043	p[3].z: 6.488
p[3].vx: 46.432	p[3].vy: -1.863	p[3].vz: 71.877

p[4].x: 4.510	p[4].y: 0.625	p[4].z: 5.817
p[4].vx: 44.532	p[4].vy: 7.833	p[4].vz: 56.467

p[5].x: -1.144	p[5].y: -4.804	p[5].z: -0.997
p[5].vx: -13.047	p[5].vy: -44.031	p[5].vz: -6.122

p[6].x: -0.457	p[6].y: -9.840	p[6].z: 2.570
p[6].vx: -5.315	p[6].vy: -101.549	p[6].vz: 28.938

p[7].x: 2.760	p[7].y: -11.410	p[7].z: 3.802
p[7].vx: 29.631	p[7].vy: -121.531	p[7].vz: 41.326

p[8].x: 6.446	p[8].y: -7.329	p[8].z: -0.889
p[8].vx: 69.404	p[8].vy: -76.722	p[8].vz: -9.518

p[9].x: -5.369	p[9].y: 0.459	p[9].z: 9.129
p[9].vx: -57.191	p[9].vy: 7.810	p[9].vz: 95.846

p[10].x: 2.146	p[10].y: -4.551	p[10].z: -4.008
p[10].vx: 27.876	p[10].vy: -48.646	p[10].vz: -43.462

p[11].x: 1.356	p[11].y: -3.221	p[11].z: -1.719
p[11].vx: 10.761	p[11].vy: -31.284	p[11].vz: -17.717

p[12].x: 0.948	p[12].y: -6.792	p[12].z: -6.659
p[12].vx: 6.944	p[12].vy: -70.797	p[12].vz: -69.877

p[13].x: -1.173	p[13].y: 2.847	p[13].z: -1.808
p[13].vx: -12.850	p[13].vy: 27.113	p[13].vz: -15.555

p[14].x: -4.310	p[14].y: 1.819	p[14].z: 1.768
p[14].vx: -39.507	p[14].vy: 18.547	p[14].vz: 14.503

p[15].x: -8.216	p[15].y: -0.554	p[15].z: -1.617
p[15].vx: -78.421	p[15].vy: -2.615	p[15].vz: -19.812

p[16].x: -2.881	p[16].y: 11.009	p[16].z: -6.430
p[16].vx: -24.738	p[16].vy: 96.335	p[16].vz: -64.831

p[17].x: -5.896	p[17].y: -3.686	p[17].z: 3.217
p[17].vx: -63.205	p[17].vy: -41.139	p[17].vz: 36.349

p[18].x: -1.875	p[18].y: 4.978	p[18].z: -6.326
p[18].vx: -15.473	p[18].vy: 49.339	p[18].vz: -57.227

p[19].x: 4.133	p[19].y: 5.336	p[19].z: -0.999
p[19].vx: 40.467	p[19].vy: 54.541	p[19].vz: -10.031

p[20].x: 9.159	p[20].y: 7.227	p[20].z: -0.223
p[20].vx: 97.484	p[20].vy: 77.553	p[20].vz: -1.187

p[21].x: -3.736	p[21].y: 0.930	p[21].z: 0.587
p[21].vx: -34.756	p[21].vy: 6.895	p[21].vz: 12.069

p[22].x: -0.423	p[22].y: 1.388	p[22].z: 10.215
p[22].vx: -5.614	p[22].vy: 17.171	p[22].vz: 105.631

p[23].x: 4.273	p[23].y: -2.050	p[23].z: 6.089
p[23].vx: 43.997	p[23].vy: -22.370	p[23].vz: 59.211

p[24].x: 2.228	p[24].y: 3.670	p[24].z: -4.691
p[24].vx: 22.380	p[24].vy: 41.337	p[24].vz: -46.823

p[25].x: -2.017	p[25].y: -4.506	p[25].z: 8.729
p[25].vx: -21.642	p[25].vy: -45.242	p[25].vz: 90.821

p[26].x: 6.709	p[26].y: 3.980	p[26].z: 0.835
p[26].vx: 68.483	p[26].vy: 42.662	p[26].vz: 7.684

p[27].x: 2.747	p[27].y: 3.414	p[27].z: -6.369
p[27].vx: 27.256	p[27].vy: 41.717	p[27].vz: -69.081

p[28].x: -4.872	p[28].y: 5.150	p[28].z: -4.739
p[28].vx: -50.553	p[28].vy: 60.142	p[28].vz: -55.944

p[29].x: -4.054	p[29].y: 8.998	p[29].z: 8.213
p[29].vx: -42.231	p[29].vy: 96.703	p[29].vz: 89.421

p[30].x: 1.304	p[30].y: -2.482	p[30].z: -4.836
p[30].vx: 13.546	p[30].vy: -22.824	p[30].vz: -42.573

p[31].x: -3.413	p[31].y: -11.337	p[31].z: -16.472
p[31].vx: -38.191	p[31].vy: -126.781	p[31].vz: -176.851

p[32].x: -5.929	p[32].y: -2.268	p[32].z: 6.784
p[32].vx: -58.801	p[32].vy: -24.981	p[32].vz: 67.615

p[33].x: -4.439	p[33].y: -3.825	p[33].z: -5.616
p[33].vx: -47.410	p[33].vy: -45.867	p[33].vz: -54.204

p[34].x: -3.167	p[34].y: -0.834	p[34].z: 7.043
p[34].vx: -34.981	p[34].vy: -13.393	p[34].vz: 70.683

p[35].x: -1.368	p[35].y: 4.138	p[35].z: -1.742
p[35].vx: -11.198	p[35].vy: 37.026	p[35].vz: -22.052

p[36].x: 2.587	p[36].y: 2.712	p[36].z: 9.261
p[36].vx: 29.160	p[36].vy: 28.827	p[36].vz: 95.129

p[37].x: 0.259	p[37].y: -10.456	p[37].z: 3.207
p[37].vx: 2.766	p[37].vy: -107.449	p[37].vz: 34.968

p[38].x: 11.260	p[38].y: -3.965	p[38].z: -28.302
p[38].vx: 125.156	p[38].vy: -45.363	p[38].vz: -317.313

p[39].x: 0.393	p[39].y: 10.150	p[39].z: 1.256
p[39].vx: 4.983	p[39].vy: 103.890	p[39].vz: 13.783

p[40].x: -5.087	p[40].y: 0.531	p[40].z: 2.210
p[40].vx: -50.686	p[40].vy: 5.997	p[40].vz: 21.125

p[41].x: -0.214	p[41].y: 9.623	p[41].z: 1.644
p[41].vx: 2.406	p[41].vy: 98.723	p[41].vz: 20.188

p[42].x: 0.124	p[42].y: 4.366	p[42].z: -2.663
p[42].vx: 1.494	p[42].vy: 36.415	p[42].vz: -35.964

p[43].x: -6.088	p[43].y: 2.029	p[43].z: -2.923
p[43].vx: -56.744	p[43].vy: 27.667	p[43].vz: -29.752

p[44].x: -0.470	p[44].y: 10.219	p[44].z: 1.195
p[44].vx: -3.485	p[44].vy: 104.769	p[44].vz: 18.032

p[45].x: 8.696	p[45].y: 1.558	p[45].z: -1.175
p[45].vx: 87.808	p[45].vy: 16.184	p[45].vz: -11.193

p[46].x: -4.539	p[46].y: 1.749	p[46].z: 1.894
p[46].vx: -47.358	p[46].vy: 22.624	p[46].vz: 16.853

p[47].x: -3.584	p[47].y: 1.810	p[47].z: 2.670
p[47].vx: -34.829	p[47].vy: 17.887	p[47].vz: 26.068

p[48].x: -2.684	p[48].y: -1.295	p[48].z: 4.737
p[48].vx: -26.840	p[48].vy: -13.612	p[48].vz: 44.609

p[49].x: -3.950	p[49].y: -3.414	p[49].z: -5.016
p[49].vx: -42.551	p[49].vy: -34.675	p[49].vz: -52.096

p[50].x: 0.824	p[50].y: -5.771	p[50].z: -5.060
p[50].vx: 8.020	p[50].vy: -67.414	p[50].vz: -50.813

p[51].x: 10.944	p[51].y: 6.379	p[51].z: -6.572
p[51].vx: 120.602	p[51].vy: 70.849	p[51].vz: -70.571

p[52].x: 0.395	p[52].y: -0.151	p[52].z: 10.929
p[52].vx: -0.095	p[52].vy: -8.448	p[52].vz: 117.118

p[53].x: -10.839	p[53].y: -18.692	p[53].z: -11.207
p[53].vx: -119.247	p[53].vy: -204.847	p[53].vz: -127.292

p[54].x: -2.190	p[54].y: 9.274	p[54].z: 6.991
p[54].vx: -20.079	p[54].vy: 99.556	p[54].vz: 76.310

p[55].x: -6.429	p[55].y: -1.590	p[55].z: -2.981
p[55].vx: -65.272	p[55].vy: -15.968	p[55].vz: -29.677

p[56].x: -0.591	p[56].y: -1.355	p[56].z: -1.678
p[56].vx: -12.078	p[56].vy: -10.285	p[56].vz: -19.436

p[57].x: 13.979	p[57].y: -0.719	p[57].z: 3.252
p[57].vx: 150.869	p[57].vy: -10.947	p[57].vz: 35.079

p[58].x: 0.759	p[58].y: -10.664	p[58].z: -1.279
p[58].vx: 8.303	p[58].vy: -109.937	p[58].vz: -13.314

p[59].x: 0.478	p[59].y: 0.919	p[59].z: -5.374
p[59].vx: 3.722	p[59].vy: 7.102	p[59].vz: -53.887

p[60].x: -3.959	p[60].y: 5.321	p[60].z: -9.437
p[60].vx: -40.147	p[60].vy: 54.404	p[60].vz: -100.217

p[61].x: -3.232	p[61].y: -0.286	p[61].z: -6.917
p[61].vx: -37.292	p[61].vy: -5.330	p[61].vz: -67.343

p[62].x: 4.583	p[62].y: 14.181	p[62].z: -2.797
p[62].vx: 49.134	p[62].vy: 155.229	p[62].vz: -34.991

p[63].x: -4.893	p[63].y: -2.640	p[63].z: 6.201
p[63].vx: -54.432	p[63].vy: -28.635	p[63].vz: 63.877

p[64].x: 4.572	p[64].y: -0.584	p[64].z: -6.748
p[64].vx: 47.585	p[64].vy: -5.372	p[64].vz: -68.161

p[65].x: 1.066	p[65].y: -1.619	p[65].z: -3.256
p[65].vx: 8.343	p[65].vy: -18.104	p[65].vz: -30.785

p[66].x: -0.503	p[66].y: -4.443	p[66].z: -2.162
p[66].vx: -7.160	p[66].vy: -39.390	p[66].vz: -19.905

p[67].x: -0.959	p[67].y: -0.019	p[67].z: -1.906
p[67].vx: -13.317	p[67].vy: 4.257	p[67].vz: -19.084

p[68].x: 0.100	p[68].y: 4.246	p[68].z: -1.414
p[68].vx: -2.124	p[68].vy: 40.377	p[68].vz: -15.593

p[69].x: 2.557	p[69].y: -3.309	p[69].z: 7.034
p[69].vx: 26.868	p[69].vy: -32.660	p[69].vz: 73.412

